Id,Model,Price,Age,KM,HP,Metallic,Automatic,CC,Doors,Gears,Weight,Color
1,TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,21500,27,19700,192,0,0,1800,3,5,1185,Red
2,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,20950,25,31461,192,0,0,1800,3,6,1185,Silver
3,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,19950,22,43610,192,0,0,1800,3,6,1185,Red
4,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,19600,25,32189,192,0,0,1800,3,6,1185,Red
5,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,21500,31,23000,192,1,0,1800,3,6,1185,Black
6,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22500,32,34131,192,1,0,1800,3,6,1185,Grey
7,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22000,28,18739,192,0,0,1800,3,6,1185,Grey
8,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,30,34000,192,1,0,1800,3,5,1185,Grey
9,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,17950,24,21716,110,1,0,1600,3,5,1105,Blue
10,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,16750,24,25563,110,0,0,1600,3,5,1065,Grey
11,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,16950,30,64359,110,1,0,1600,3,5,1105,Grey
12,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,15950,30,67660,110,1,0,1600,3,5,1105,Blue
13,TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,16950,29,43905,110,0,1,1600,3,5,1170,Grey
14,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,28,56349,110,1,0,1600,3,5,1120,Black
15,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,32220,110,1,0,1600,3,5,1120,Black
16,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16250,29,25813,110,1,0,1600,3,5,1120,Grey
17,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,25,28450,110,1,0,1600,3,5,1120,Blue
18,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,27,34545,110,1,0,1600,3,5,1120,Blue
19,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,29,41415,110,1,0,1600,3,5,1120,Black
20,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,44142,110,0,0,1600,3,5,1120,Grey
21,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,30,11090,110,1,0,1600,3,5,1120,Blue
22,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,12950,29,9750,97,1,0,1400,3,5,1100,Silver
23,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,22,35199,97,1,0,1400,3,5,1100,Blue
24,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,27,29510,97,1,0,1400,3,5,1100,Black
25,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,26,32692,97,1,0,1400,3,5,1100,Grey
26,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,22,41000,97,1,0,1400,3,5,1100,Grey
27,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,26,43000,97,0,0,1400,3,5,1100,Grey
28,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,25,25000,97,0,0,1400,3,5,1100,Grey
29,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,23,10000,97,1,0,1400,3,5,1100,Blue
30,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,32,25329,97,1,0,1400,3,5,1100,Green
31,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14750,27,27500,97,0,0,1400,3,5,1100,Blue
32,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,49059,97,0,0,1400,3,5,1100,Blue
33,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16750,27,44068,97,1,0,1400,3,5,1100,Red
34,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,46961,97,0,0,1400,3,5,1100,Blue
35,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,22,75048,97,1,0,1400,5,5,1110,Blue
36,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,31,64982,192,1,0,1800,5,6,1195,Grey
37,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,30,57086,97,1,0,1400,5,5,1110,Grey
38,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,26,56000,110,1,1,1600,5,5,1180,Blue
39,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,27,49866,192,1,0,1800,5,5,1195,Green
40,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,25,49163,110,0,1,1600,5,5,1165,Green
41,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,32,45725,110,1,0,1600,5,5,1075,Black
42,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,28,43210,97,0,0,1400,5,5,1110,Grey
43,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,43000,97,0,0,1400,5,5,1110,Grey
44,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,23,39704,110,1,1,1600,5,5,1180,Blue
45,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,30,38950,110,1,0,1600,5,5,1130,Red
46,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,37400,97,1,0,1400,5,5,1110,Black
47,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,27,37177,110,0,0,1600,5,5,1130,Red
48,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,36544,110,1,0,1600,5,5,1130,Blue
49,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,30,33511,110,1,0,1600,5,5,1130,Blue
50,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,27,32809,97,1,0,1400,5,5,1110,Black
51,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,26,32181,110,1,0,1600,5,5,1075,Blue
52,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,30993,110,1,0,1600,5,5,1130,Black
53,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,30400,97,1,0,1400,5,5,1110,Grey
54,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,25,29719,97,1,0,1400,5,5,1110,Black
55,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,28,29206,97,1,0,1400,5,5,1110,Grey
56,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,32,29198,97,1,0,1400,5,5,1060,Grey
57,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,28817,110,1,0,1598,5,5,1130,Grey
58,TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,23,28227,97,1,0,1400,5,5,1110,Grey
59,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,28,28000,110,0,0,1600,5,5,1130,Black
60,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,23,28000,110,1,0,1600,5,5,1115,Grey
61,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,25266,110,1,0,1600,5,5,1130,Grey
62,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,27,23489,110,0,0,1600,5,5,1115,Silver
63,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,29,22575,110,1,0,1600,5,5,1115,Grey
64,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,30,22000,97,1,0,1400,5,5,1110,Grey
65,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,25,20019,110,1,1,16000,5,5,1180,Blue
66,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,29,20000,110,1,0,1600,5,5,1115,Grey
67,TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,25,17003,97,1,0,1400,5,5,1110,Grey
68,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,31,16238,110,1,1,1600,5,5,1180,Blue
69,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,25,15414,97,1,0,1400,5,5,1110,Grey
70,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,28,8537,110,1,0,1600,5,5,1130,Grey
71,TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,30,7000,97,1,0,1400,5,5,1100,Silver
72,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,51884,97,1,0,1400,3,5,1100,Grey
73,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,20,48110,97,1,0,1400,3,5,1100,Black
74,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,20,33329,97,1,0,1400,3,5,1100,Grey
75,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,20,31850,110,0,0,1600,3,5,1120,Black
76,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,29435,97,1,0,1400,3,5,1100,Black
77,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,25948,97,1,0,1400,3,5,1100,Blue
78,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,11,24500,110,1,0,1600,3,5,1120,Blue
79,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,18,23902,97,1,0,1400,3,5,1100,Grey
80,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,20,23175,110,1,0,1600,3,5,1120,Grey
81,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,19,19200,97,1,0,1400,3,5,1100,Blue
82,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,18500,13,18000,71,0,0,1400,3,5,1125,Grey
83,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,11,16123,110,1,0,1600,3,5,1105,Grey
84,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,11,14635,110,1,1,1600,3,5,1155,Blue
85,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,19,13748,97,1,0,1400,3,5,1100,Green
86,TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,14,11500,110,1,0,1600,3,5,1045,Blue
87,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17450,17,10000,97,1,0,1400,3,5,1100,Grey
88,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,20,7187,110,1,0,1600,3,5,1105,Blue
89,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,7,1,110,1,0,1600,3,5,1105,Grey
90,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,13,57037,110,0,0,1600,5,5,1115,Silver
91,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,14,40010,110,1,0,1600,5,5,1115,Black
92,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,20,39115,110,1,0,1600,5,5,1130,Blue
93,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16950,17,36012,110,0,0,1600,5,5,1130,Red
